,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.45,0.515802781289507,0.333984375,0.5161649944258639,0.9435483870967742,0.5914304993252362,0.551900107562429,0.5707157035492042
recall,0.05844155844155844,0.5803698435277382,0.24358974358974358,0.6586059743954481,1.0,0.5914304993252362,0.5082014239908977,0.5914304993252362
f1-score,0.10344827586206895,0.5461847389558233,0.28171334431630973,0.5787499999999999,0.970954356846473,0.5914304993252362,0.496210143196135,0.5688707429773873
support,154.0,703.0,702.0,703.0,702.0,0.5914304993252362,2964.0,2964.0
